Restaurant,ID,Rating,Reviews,Price,City,State,ZipCode,Category
Foreign Cinema,n6L5VIGunR51-D55C-eYeQ,4.0,4522,3,San Francisco,CA,94110,Breakfast & Brunch
Liholiho Yacht Club,KkAVX3Wb7E3lP5F_f_8pXg,4.5,1898,3,San Francisco,CA,94109,Bars
Chapeau,L5vSeC_sa3TUQW_lticqyA,4.5,2570,3,San Francisco,CA,94118,French
Espetus Brazilian Steak House,ciEDsTWhajcdL3KuJqBRlw,4.0,3174,3,San Francisco,CA,94102,Steakhouses
State Bird Provisions,QZQGRJZ4bZCmNoXjs3z1XQ,4.0,2483,3,San Francisco,CA,94115,Tapas/Small Plates
Anchor Oyster Bar,ZDvIMjJ-7I0561ckM4pAeA,4.5,1379,3,San Francisco,CA,94114,Seafood
Absinthe Brasserie & Bar,353bun0151fMbR3ut2d-nw,4.0,3129,3,San Francisco,CA,94102,French
Wayfare Tavern,ykvr3ib1gHQHI4tznSn8iA,4.0,3617,3,San Francisco,CA,94111,American (Traditional)
L'ardoise Bistro,9yM20-7fj4LMrOO30nqkBw,4.5,1193,3,San Francisco,CA,94114,French
Lolinda,wEpiKz--Z2b1q_FSCCNiow,4.0,1735,3,San Francisco,CA,94110,Steakhouses
Frances,dMlsQsPU8Y_oiPYC5hHi2A,4.5,1426,3,San Francisco,CA,94114,American (New)
Bourbon & Branch,aud84H-NpMx3opWPtLX-vg,4.0,2913,3,San Francisco,CA,94102,Cocktail Bars
Scoma's Restaurant,jqEpBbf_qNfWuz_GBkwCjw,4.0,3254,3,San Francisco,CA,94133,Seafood
Bar Crudo,CTE5lnXUYp4xidmh35knNg,4.0,1793,3,San Francisco,CA,94117,Seafood
La Mar Cebichería Peruana,Qbr2JG96K6d31NqqAUxf9g,4.0,3394,3,San Francisco,CA,94111,Seafood
Thanh Long,z9CN58fSrA46ggyb6OnCnQ,4.0,2380,3,San Francisco,CA,94122,Seafood
The Slanted Door,ZuhygpLHdwsELMWa3Nbymw,3.5,5354,3,San Francisco,CA,94111,Vietnamese
Isa Restaurant,QINiEjMRGA7pKfvhPQtfBg,4.0,1937,3,San Francisco,CA,94123,French
Delfina,YqvoyaNvtoC8N5dA8pD2JA,4.0,1973,3,San Francisco,CA,94110,Italian
DOSA on Fillmore,U1TgSEKZwgdTftTOxCtFOQ,4.0,2785,3,San Francisco,CA,94115,Indian
Firefly Restaurant,i_OkjtKWm02Upc-PlcUrrg,4.0,1412,3,San Francisco,CA,94114,American (New)
La Ciccia,1toCkhuD0b57iFotMu3XEQ,4.5,1018,3,San Francisco,CA,94131,Seafood
Zuni Café,oqsu3pKpgRMGHj9QItsx0A,4.0,2586,3,San Francisco,CA,94102,Italian
AsiaSF,6LfqlrbkpjZt83bEMZWq7A,4.0,1721,3,San Francisco,CA,94103,Asian Fusion
Frascati,xdAgbLBQcffIxI8mYgjT1Q,4.5,1142,3,San Francisco,CA,94109,American (New)
Seven Hills,dTWMVRcMVC4zynbFQC7A2A,4.5,907,3,San Francisco,CA,94109,Italian
Hillstone,_D1Ev_zTZs5ijHkleK6C2w,4.0,2044,3,San Francisco,CA,94111,American (New)
Blue Plate,rxY7canIJeXtICb6lprUcQ,4.0,1334,3,San Francisco,CA,94110,American (Traditional)
Tadich Grill,WxxE5kE8omgQhJE8sWIvmA,4.0,2191,3,San Francisco,CA,94111,Seafood
Perbacco,ztL8KI0ed0snCiK88ZUfNw,4.0,1930,3,San Francisco,CA,94111,Italian
Coqueta,xv8dq_jBNfQkHeX2wJGlAg,4.0,1798,3,San Francisco,CA,94105,Spanish
Hakkasan,dN_v0Lu6xhv0yJcx-M0fpg,4.0,1553,3,San Francisco,CA,94108,American (New)
BIX,PzPPcGVg5O4UuW5cTopJhA,4.0,1694,3,San Francisco,CA,94133,American (Traditional)
Cafe Claude,gsf5yf5HS3h8Z8MHpJ4t3w,4.0,1908,3,San Francisco,CA,94108,French
Koo,4GAsfSjaB1XewzS3TKOtTg,4.0,1069,3,San Francisco,CA,94122,Japanese
Waterbar,7Q3QIZz5UX-JSTSKKkRqDg,3.5,2783,3,San Francisco,CA,94105,Seafood
Ruth's Chris Steak House,Kxwc8PIKy2JsegNwgBjAtA,4.0,1951,3,San Francisco,CA,94109,Steakhouses
Park Tavern,4-pWX0F9mi_VlN1IAxweSQ,4.0,1467,3,San Francisco,CA,94133,American (New)
Stones Throw,uvQDJdwQM_pe_blEYQlgSg,4.5,847,3,San Francisco,CA,94109,American (New)
5A5 Steak Lounge,Q8cYhJGa9pwlu63f-KMV-A,4.0,2017,3,San Francisco,CA,94111,Steakhouses
Bistro Central Parc,W97siDhQbWIVa0MEpcq9iA,4.5,899,3,San Francisco,CA,94117,French
Roy's Restaurant,iWUSAD2WALWNFF0pPiomHA,4.0,2185,3,San Francisco,CA,94105,Seafood
Saru Sushi Bar,6TL8udi-vy_5rH-wikMSoA,4.5,753,3,San Francisco,CA,94114,Sushi Bars
Zushi Puzzle,u2qFhVAiH3kQIGhEW6PmMA,4.0,1303,3,San Francisco,CA,94123,Sushi Bars
Bobo's,yNU6sPRWzVl0ngCRqat1TQ,4.0,1940,3,San Francisco,CA,94123,Steakhouses
Trestle,jcFf2ZnJYL0nWCdIpqiA-g,4.5,723,3,San Francisco,CA,94133,American (New)
Gary Danko,WavvLdfdP6g8aZTtbBQHTw,4.5,4946,4,San Francisco,CA,94109,American (New)
La Folie,eSixRz7xcwtFdeh9hN5TyQ,4.5,1417,4,San Francisco,CA,94109,French
Boulevard,Tttm1r5Dw1sRMCfc3EQWPw,4.0,2542,4,San Francisco,CA,94105,American (New)
KUSAKABE,U0GqpXzcIDlad7vQHbB63Q,4.5,751,4,San Francisco,CA,94111,Sushi Bars
Spruce,ZfMLpV7p3EvRv3Idpx89sQ,4.0,1785,4,San Francisco,CA,94118,American (Traditional)
Harris' Restaurant,FqYg7BcsryLFiUTknxpQpw,4.0,1720,4,San Francisco,CA,94109,Steakhouses
Alexander's Steakhouse,PLx_VnZyFmxTS1zNTaDJxA,4.0,1568,4,San Francisco,CA,94107,Steakhouses
Acquerello,mDM7-ho67ePJXd5TodtCOg,4.5,1029,4,San Francisco,CA,94109,Italian
Benu,q2EbLD93gEO5uXXx7Pk3bw,4.5,974,4,San Francisco,CA,94105,American (New)
Quince,zFxD8QinHt69Bs7M2mgB-Q,4.0,1386,4,San Francisco,CA,94133,French
Roka Akor - San Francisco,qKVwVCJ_5D0iOxJYE9wSJw,4.0,1081,4,San Francisco,CA,94133,Steakhouses
Jardiniere,inVsc1turxk_OpM9E2Q1Rw,4.0,1596,4,San Francisco,CA,94102,French
Lazy Bear,uBaXDGwJPUkOSLWxS2vZ9Q,4.5,495,4,San Francisco,CA,94110,American (New)
Atelier Crenn,c3khi7kxBaA2ATUuMjtMZA,4.5,640,4,San Francisco,CA,94123,French
Wako Japanese Restaurant,bE_1J-17ut6t6bvNhkkxSw,4.5,461,4,San Francisco,CA,94118,Japanese
Michael Mina,5I3fM8fRdkJdKL-_BJ1qvw,4.0,1148,4,San Francisco,CA,94111,Middle Eastern
Farallon,4raSXRuvBH1CHawSsuJiBA,4.0,1514,4,San Francisco,CA,94102,Seafood
Campton Place,iU-XQ4dhII3WF1UKR4XrNQ,4.0,703,4,San Francisco,CA,94108,American (New)
Omakase,WpcWACqlAodx5dbe5GJWZA,4.5,348,4,San Francisco,CA,94103,Sushi Bars
Hinata,yD9-WrXijc_grVmi_zkCfQ,4.5,330,4,San Francisco,CA,94109,Sushi Bars
Kiss Seafood,USbpXRK2pFey0V24QcgXsQ,4.0,525,4,San Francisco,CA,94115,Japanese
Sons & Daughters,GoIbbBYDyr8W46YmxJct-g,4.0,625,4,San Francisco,CA,94108,American (New)
Californios,9S6GK2In2b1tuJ7xoC84pA,4.5,244,4,San Francisco,CA,94110,Mexican
The Progress,CS0pUlk25RV2-vhKFFbxqA,4.0,727,4,San Francisco,CA,94115,American (New)
Keiko à Nob Hill,6ZNlnA733Rv0I9Mq5_yO0A,4.5,373,4,San Francisco,CA,94109,Japanese
jū-ni,OcRSAkpOhnWHjV7X0FoM5Q,4.5,225,4,San Francisco,CA,94117,Japanese
Saison,XGHTrreDK35ciuA8R6naNQ,4.0,420,4,San Francisco,CA,94107,American (New)
Coi,HG5cvtfUcpMojb2RyB2ZJQ,4.0,740,4,San Francisco,CA,94133,American (New)
Ijji Sushi,7jmzwBlILphGspyorxkGXg,4.5,161,4,San Francisco,CA,94117,Sushi Bars
Osso Steakhouse,9-TPmOn6AbW2fLMiugQCiA,3.5,651,4,San Francisco,CA,94108,Steakhouses
Sushi Hon,3MRyd2-Zx9smDLXWPAL3kw,4.5,225,4,San Francisco,CA,94110,Japanese
Mister Jiu's,p22TPx1EFZcuEzl2qhuzGA,4.0,449,4,San Francisco,CA,94108,Chinese
Morton's The Steakhouse,ITFRPmzOeEp6dY3Dufh8vw,3.5,1124,4,San Francisco,CA,94102,Steakhouses
Maruya,k8UnUjLkikZSdJ8NYWl6zA,4.0,330,4,San Francisco,CA,94103,Japanese
Khai,hE6Fc0ts1-EPaCvRW4Gt8w,4.5,115,4,San Francisco,CA,94103,Vietnamese
An Japanese Restaurant,zWpV3kVw1CO9Fb3JroQpqw,4.5,116,4,San Francisco,CA,94115,Sushi Bars
OzaOza,Y96P7pYNYya_bP-Ogun-0w,4.5,81,4,San Francisco,CA,94115,Japanese
Petit Crenn,kiRsScNQs_UdDV6jPyeCWg,4.0,330,4,San Francisco,CA,94102,French
Robin,_CY0LgS5OOBhImGNeWwHWg,4.0,232,4,San Francisco,CA,94102,Sushi Bars
Birdsong,XVPiXV_TPivnr9szB5kc-A,4.5,77,4,San Francisco,CA,94103,American (New)
Kingza,2QGpLQwpzcPK99JfS5G4cQ,4.5,130,4,San Francisco,CA,94110,Sushi Bars
Parallel 37,GnxzYamcJRd5NG94wGxdcw,4.0,193,4,San Francisco,CA,94108,American (New)
Hashiri,E-jaK7rK8nclJfIkeAHtsA,4.5,79,4,San Francisco,CA,94103,Japanese
